base,e3_simpleascii,msB_simpleascii,msA_simpleascii,allen_simpleascii
e3_simpleascii:9.247,0,0,9,1
e3_simpleascii:9.248,0,0,0,0
e3_simpleascii:9.249,0,0,8,1
e3_simpleascii:9.250,0,0,7,1
e3_simpleascii:9.251,0,0,6,0
e3_simpleascii:9.252,0,0,6,0
e3_simpleascii:9.253,0,0,10,1
e3_simpleascii:9.254,0,0,0,0
e3_simpleascii:9.255,0,0,0,2
e3_simpleascii:9.256,0,0,24,0
e3_simpleascii:9.257,0,0,7,1
e3_simpleascii:9.258,0,0,9,1
e3_simpleascii:9.259,0,0,8,2
e3_simpleascii:9.260,0,0,9,2
e3_simpleascii:9.261,0,0,8,0
e3_simpleascii:9.262,0,0,0,0
e3_simpleascii:9.263,0,0,1,2
e3_simpleascii:9.264,0,0,13,1
e3_simpleascii:9.265,0,0,15,1
e3_simpleascii:9.266,0,0,7,0
e3_simpleascii:9.267,0,0,0,0
e3_simpleascii:9.268,0,0,0,0
e3_simpleascii:9.269,0,0,13,1
e3_simpleascii:9.270,0,0,1,3
e3_simpleascii:9.271,0,0,0,0
e3_simpleascii:9.272,0,0,9,1
e3_simpleascii:9.273,0,0,10,2
e3_simpleascii:9.274,0,0,0,6
e3_simpleascii:9.275,0,0,0,0
e3_simpleascii:9.276,0,0,1,1
e3_simpleascii:9.277,0,0,0,0
e3_simpleascii:9.278,0,0,9,1
e3_simpleascii:9.279,0,0,0,0
e3_simpleascii:9.280,0,0,0,1
e3_simpleascii:9.281,0,0,8,0
e3_simpleascii:9.282,0,0,6,1
e3_simpleascii:9.283,0,0,0,1
e3_simpleascii:9.284,0,0,6,0
e3_simpleascii:9.285,0,0,0,0
e3_simpleascii:9.286,0,0,11,2
e3_simpleascii:9.287,0,0,10,0
e3_simpleascii:9.288,0,0,0,1
e3_simpleascii:9.289,0,0,0,2
e3_simpleascii:9.290,0,0,8,2
e3_simpleascii:9.291,0,0,10,0
e3_simpleascii:9.292,0,0,14,1
e3_simpleascii:9.293,0,0,11,1
e3_simpleascii:9.294,0,0,12,1
e3_simpleascii:9.295,0,0,11,1
e3_simpleascii:9.296,0,0,0,1
e3_simpleascii:9.297,0,0,12,2
e3_simpleascii:9.298,0,0,9,0
e3_simpleascii:9.299,0,0,7,1
e3_simpleascii:9.300,0,0,0,0
e3_simpleascii:9.301,0,0,5,1
e3_simpleascii:9.302,0,0,0,0
e3_simpleascii:9.303,0,0,14,1
e3_simpleascii:9.304,0,0,3,4
e3_simpleascii:9.305,0,0,0,0
e3_simpleascii:9.306,0,0,8,0
e3_simpleascii:9.307,0,0,0,1
e3_simpleascii:9.308,0,0,1,1
e3_simpleascii:9.309,0,0,0,0
e3_simpleascii:9.310,0,0,7,3
e3_simpleascii:9.311,0,0,1,0
e3_simpleascii:9.312,0,0,0,0
e3_simpleascii:9.313,0,0,0,1
e3_simpleascii:9.314,0,0,15,16
e3_simpleascii:9.315,0,0,2,3
e3_simpleascii:9.316,0,0,0,1
e3_simpleascii:9.317,0,0,6,1
e3_simpleascii:9.318,0,0,15,0
e3_simpleascii:9.319,0,0,7,0
e3_simpleascii:9.320,0,0,7,2
e3_simpleascii:9.321,0,0,2,0
e3_simpleascii:9.322,0,0,11,0
e3_simpleascii:9.323,0,0,1,2
e3_simpleascii:9.324,0,0,6,5
e3_simpleascii:9.325,0,0,6,0
e3_simpleascii:9.326,0,0,0,1
e3_simpleascii:9.327,0,0,10,0
e3_simpleascii:9.328,0,0,4,1
e3_simpleascii:9.329,0,0,9,1
e3_simpleascii:9.330,0,0,0,0
e3_simpleascii:9.331,0,0,0,0
e3_simpleascii:9.332,0,0,3,1
e3_simpleascii:9.333,0,0,8,1
e3_simpleascii:9.334,0,0,10,1
e3_simpleascii:9.335,0,0,8,2
e3_simpleascii:9.336,0,0,7,2
e3_simpleascii:9.337,0,0,9,0
e3_simpleascii:9.338,0,0,0,1
e3_simpleascii:9.339,0,0,9,1
e3_simpleascii:9.340,0,0,4,5
e3_simpleascii:9.341,0,0,0,0
e3_simpleascii:9.342,0,0,7,0
e3_simpleascii:9.343,0,0,16,2
e3_simpleascii:9.344,0,0,0,2
e3_simpleascii:9.345,0,0,7,0
e3_simpleascii:9.346,0,0,7,3
e3_simpleascii:9.347,0,0,4,0
e3_simpleascii:9.348,0,0,0,0
e3_simpleascii:9.349,0,0,1,1
e3_simpleascii:9.350,0,0,18,0
e3_simpleascii:9.351,0,0,7,9
e3_simpleascii:9.352,0,0,8,3
e3_simpleascii:9.353,0,0,0,0
e3_simpleascii:9.354,0,0,7,1
e3_simpleascii:9.355,0,0,0,1
e3_simpleascii:9.356,0,0,2,3
e3_simpleascii:9.357,0,0,4,0
e3_simpleascii:9.358,0,0,5,0
e3_simpleascii:9.359,0,0,11,4
e3_simpleascii:9.360,0,0,0,2
e3_simpleascii:9.361,0,0,9,1
e3_simpleascii:9.362,0,0,9,0
e3_simpleascii:9.363,0,0,10,3
e3_simpleascii:9.364,0,0,11,5
e3_simpleascii:9.365,0,0,0,1
e3_simpleascii:9.366,0,0,0,0
e3_simpleascii:9.367,0,0,12,3
e3_simpleascii:9.368,0,0,0,0
e3_simpleascii:9.369,0,0,0,1
e3_simpleascii:9.370,0,0,0,0
e3_simpleascii:9.371,0,0,0,0
e3_simpleascii:9.372,0,0,11,1
e3_simpleascii:9.373,0,0,8,0
e3_simpleascii:9.374,0,0,8,0
e3_simpleascii:9.375,0,0,7,3
e3_simpleascii:9.376,0,0,12,1
e3_simpleascii:9.377,0,0,3,0
e3_simpleascii:9.378,0,0,7,0
e3_simpleascii:9.379,0,0,0,1
e3_simpleascii:9.380,0,0,18,0
e3_simpleascii:9.381,0,0,15,8
e3_simpleascii:9.382,0,0,0,0
e3_simpleascii:9.383,0,0,7,3
e3_simpleascii:9.384,0,0,9,1
e3_simpleascii:9.385,0,0,0,1
e3_simpleascii:9.386,0,0,1,0
e3_simpleascii:9.387,0,0,6,1
e3_simpleascii:9.388,0,0,0,1
e3_simpleascii:9.389,0,0,7,1
e3_simpleascii:9.390,0,0,11,1
e3_simpleascii:9.391,0,0,6,1
e3_simpleascii:9.392,0,0,6,1
e3_simpleascii:9.393,0,0,12,1
e3_simpleascii:9.394,0,0,6,3
e3_simpleascii:9.395,0,0,2,2
e3_simpleascii:9.396,0,0,17,0
e3_simpleascii:9.397,0,0,10,4
e3_simpleascii:9.398,0,0,0,0
e3_simpleascii:9.399,0,0,0,1
e3_simpleascii:9.400,0,0,0,0
e3_simpleascii:9.401,0,0,0,1
e3_simpleascii:9.402,0,0,6,0
e3_simpleascii:9.403,0,0,0,1
e3_simpleascii:9.404,0,0,0,1
e3_simpleascii:9.405,0,0,11,0
e3_simpleascii:9.406,0,0,10,0
e3_simpleascii:9.407,0,0,13,0
e3_simpleascii:9.408,0,0,0,0
e3_simpleascii:9.409,0,0,8,1
